0	-1
-1	0
1	1
2,3	2
4	3
5	4
6	5,6
7	7
8	8,10
9	11
10	12
11	13,14
12	15
13	16,17
14	18
15	19
16	20
17	21,22
18,19	23,24
20,21	25,26
22	27
23,24	28,29
25,26	30,31
27,28	32,33
29	-1
30	-1
-1	34
-1	35
-1	36
-1	37
-1	38
31	39
32	40,41
33	42
34	43,45
35	46
36	47
37	48
38	49,50
39	51
40	52
41	53,55
42	56
43	57,58
44,45	59
46,47	60,62
48	63
49,50	64
51,52	65,68
53	69
54	70
55	-1
-1	71
56	72
57	73
58	74
59	75,76
60,61	77,79
62	80,81
63	82,83
64	84
65,66	85,86
67	87
68	88
69	89
70,71	90
72	91
73,74	92,94
-1	95
75	96
76	-1
77,80	97,102
81	103
-1	104
-1	105
82	106
83	-1
84	107
85,86	108,109
87,88	110
89	111
90	112,113
91	114
92,93	115,116
94	117
95	118,119
96	-1
97	120
-1	121
98	122
99	123
100	124,125
101	126
102	127
103	128,129
104	-1
105	130
-1	131
106	132
107,109	133,135
110	-1
111	136
-1	137
112	138
113	139
114	140
115	141,142
116	143,144
117,118	145
119	146
120	-1
121	147
-1	148
122,124	149,151
125	-1
126	152
-1	153
127	154
128	155
129,130	156
131,132	157,159
133	160,161
134	162
135	-1
136	163
-1	164
137	165,166
138,139	167,168
140	-1
141	169
-1	170
142	171
143	172
144	173
145,146	174,175
147	-1
148	176
149	-1
150	177
-1	178
151	179
152,153	180
154	181
155,157	182,185
158	186,188
159	189
160	-1
161	190
-1	191
162	192
163	193
164,165	194,195
166,167	196
168	197
169	-1
170	198
-1	199
171,172	200,201
173	-1
174	202
-1	203
175,176	204,205
177	206
178	207
179	-1
180	208
-1	209
181	210
182,184	211
-1	212
185	-1
186	213
-1	214
187	215
188	216,217
189	218
190	219
191	220
192	221
193	222
194,195	223,225
196	226
197	227
-1	228
-1	229
198	230,231
199	232,234
200	235,236
201	237,239
202	240,241
203	242,244
204	245
205,206	246,247
207	-1
208	248
-1	249
209	250,251
210,211	252
212,214	253
215	254
216,217	255
218	256,257
219	258,260
220	261
221	262,265
-1	266
222	267,268
223	-1
224	269
-1	270
225	271
226	272
227	273
228	274
229	275
230	-1
231	276
-1	277
232	278,280
233	281,282
234	-1
235	283
-1	284
236	285,286
237	287
238	288,289
239	-1
240	290
-1	291
241	292
242,243	293,295
244	296
245	297,298
246	299,300
247	301,302
248,249	303
250	-1
251	304
-1	305
252	306,307
253	308,309
254	310
255	-1
256	-1
257	311
-1	312
258,259	313,314
260,261	315
262	316
263	-1
264	317
-1	318
265	319,320
266	321
267	322
268	323,324
-1	325
269	326
270	-1
271	327,329
272	330,331
273	332,333
274	-1
-1	334
275	335
276	336,337
277	338,339
278	-1
279	340
-1	341
280	342,344
281	345
282	346
283	347
284	-1
285	348
-1	349
286,288	350
289	351,353
290	-1
291	354
292	355
293	-1
294	356
-1	357
295,296	358
297,299	359,362
300	363,364
301	-1
302	365
-1	366
303	367,370
304	371,372
305	373
306	374
307	375
308,309	376
310	377,378
311	379,380
312	381
313,314	382
315,316	383
317	384
318	385
319	-1
320	386
-1	387
321	388
322,323	389
324	390
325	391
326	392
327	-1
328	393
-1	394
329,333	395,397
334	-1
335	398
-1	399
336	400
337	401,402
338	-1
339	403
-1	404
340	405
341	406
-1	407
342	408
343,346	409,412
347	413
348	-1
349	414
-1	415
350	416
351	417,419
352,353	420,421
354	422
355	423,424
356	425
357	426
358	427
359	-1
360	428
-1	429
361	430
362	431,433
363	-1
364	434
-1	435
365,367	436
368	-1
369	437
-1	438
370	439
371	-1
372	440
-1	441
373,374	442
375,376	443
-1	444
377,378	445,446
379	-1
380	447
-1	448
381	449,450
382	451
383,384	452,455
385	456,457
386	458
-1	459
387	460
388	461
389	462
390	463
391	464
392	465
393,394	466
395	467
396,397	468,470
-1	471
398,399	472,473
400	474,476
401	477
402	478
403	479
404	480
405	481,483
406	484
407	485,486
408	487
409	488
410,412	489,490
413	491,493
414	494
415	495,496
416,417	497,498
418	499,500
419	501
420	502,503
421,422	504,507
423	508
424	-1
425	509
-1	510
426,427	511
428,429	512
430	513
431	-1
432	514
-1	515
433	516
434	517
435,436	518
437,438	519
439	520
440	521
441	-1
442	522
-1	523
443	524
444	525
445,446	526
-1	527
447,448	528,529
449	530,531
450	532
451	533
452	534
453	535
454	536,537
455	-1
456	538
-1	539
457	540,541
458	542
459	543
460,463	544,546
464	547,548
465	549
466	550
467	551
468	-1
469	552
470	553
471	554
472	555
473	556,557
474	558,560
475	561
476	562,564
477	-1
478	565
-1	566
479	567
480	568
481	569,572
482	-1
483	573
-1	574
484	575,576
485	577
486	578
487	579
488	580
489	581
490	582,583
491	584
492	585
493	-1
494	586
-1	587
495	588
496,497	589,590
498	591
499	592
500	-1
501	593
-1	594
502	595
503	596
504	-1
505	597
-1	598
506	599
507	600,601
508	602
509	-1
510	603
-1	604
511	605,607
512,513	608,610
514	-1
515	611
-1	612
516	613
517	614
518	615
519	616
520	617
521	618,619
522,523	620,621
524	622
525	-1
526	623
-1	624
527	625,626
528	627
529,531	628,631
532	632
533	633,635
534	636
535	637
536	-1
537	638
-1	639
538	640
539	641
540	-1
541	642
-1	643
542	644,647
543	648
544	649
545	-1
546	650
-1	651
547	652
548	653
549	654
550	655
551	656,657
552	658
553	659,664
554	665
555	666,668
-1	669
556	-1
-1	670
557	671
558	-1
559	672,673
560	674
561	675
562,563	676
564,565	677,679
566	680
567	681,683
568	684,685
569	686
570	687
571	-1
572	688
-1	689
573	690
574	691
575	692
576	693
577	694
578	695,696
579	697
580,581	698
582	699,704
583	705,707
584	708
585	-1
586	-1
587	-1
-1	709
-1	710
588	711
589	712,716
590	717
591	718
592	719,720
593	721,722
594	723,724
595	725,726
596	727
597	-1
598	728
-1	729
599	730
600	731,732
601,603	733,737
604	738,740
605	741
606	742
607	743,744
608	745
609	746,748
610	749,750
611,612	751,753
613,619	754,760
620	-1
621	761
-1	762
622	763
623,627	764,765
628,631	766,770
632	771
633	772
634	773
635	774,775
636	776,777
637	-1
638	778
-1	779
639	780
640	781,783
641,642	784,785
643	786,787
644	-1
645	788
-1	789
646	790
647,648	791,793
649	794
650	795,796
651,652	797
653,654	798,799
655	800
656,657	801,803
658,659	804,805
660	806
661,662	807,810
663,664	811,812
665	813,814
666	815,816
667,668	817,818
669	819,820
670,671	821,822
672,675	823,824
676	-1
677	825
-1	826
678	827,829
679	830
680,682	831
683	832
684	833
685	834
686	835,837
687	838
688	-1
689	839
-1	840
690	841
691	842,843
692	844
693	845,847
694	-1
695	848
-1	849
696,697	850
698	851
699	852,854
700	-1
-1	855
701	856
702	857,858
703	859,860
704	861
705	-1
706	862
-1	863
707,708	864
709	865,868
710	869
711,712	870
713	871,873
714	874
715	875
716	876
717	-1
718	877
-1	878
719	879,884
720	885,888
721	889,890
722	891,892
723,724	893
725	894,896
726	897
727	898,900
728	901
729	902
-1	903
730	904,905
731	906
732	907
733	908,910
734,736	911,912
737	913,914
738	915,916
739	917
740,741	918
742	-1
743	919
-1	920
744,745	921,922
746	923
747	924
748	925
749	926
750	927
751,752	928
753	929
-1	930
754	931
755,756	932,934
757	935
758,759	936
760	937
761	938
762	-1
763	939
-1	940
764	941,942
765	943
766	944
767,770	945,947
771	948,949
772	950
773,774	951,952
775	953
776	954
777	-1
778	955
-1	956
779,781	957,958
782	959
783	960
784	-1
785	961
-1	962
786	963,965
787	966
788,790	967,970
791	971
792	972,973
793	974
794	975,976
795	977
796,798	978,980
799	981,982
800	983
801	984
802	985
803	-1
804	986
-1	987
805	988
806,807	989,992
808	993
809	994,996
810	997
811	-1
812	998
-1	999
813	1000
814	1001
815,816	1002,1003
817,818	1004,1005
819	1006
820,821	1007
822	1008
823	-1
824	1009
-1	1010
-1	1011
825	1012
826	1013
827	1014,1015
828,829	1016,1017
830	1018
831	1019
832	1020
833	1021,1022
834	1023
835	1024
836	-1
837	1025
-1	1026
838	1027,1029
839,841	1030,1032
842,843	1033
844	1034
845	-1
846	1035
-1	1036
847	1037,1039
848	1040
849	1041
850,851	1042,1043
852	-1
853	1044
-1	1045
854	1046
855,856	1047,1049
857	1050,1051
858,859	1052
860	-1
861	1053
-1	1054
862	1055
863,864	1056
865	1057
866,867	1058
868	1059,1060
869	1061,1063
870	1064,1065
871	1066,1068
872	1069
873	1070
874	1071
875	1072
876,877	1073
878	1074
879	1075,1076
880,881	1077
882,883	1078
884	1079
885	1080
886	1081
887	1082
888	1083
889	1084
-1	1085
890	-1
891	1086
-1	1087
892,893	1088
894,896	1089,1091
897,898	1092,1093
899	1094
900	1095
901	1096
902	1097,1099
903	1100
904	1101
905	1102
906,907	1103
908	1104,1105
909	-1
-1	1106
-1	1107
910	1108
911,912	1109
913,914	1110,1111
915	1112,1113
916	1114
917	-1
918	1115
-1	1116
919	1117
920	1118
921,922	1119,1122
923	1123
924	-1
925	1124
-1	1125
926	1126
927	1127,1129
928	-1
929	1130
-1	1131
930	1132,1133
931	1134
932	1135
933	-1
934	1136
-1	1137
935	1138
936	1139
937	1140
938,939	1141,1142
940	-1
941	1143
-1	1144
942	1145,1146
943	1147,1148
944	1149
945	1150
946	1151
947	1152
948	1153,1154
949	1155,1156
950	1157
951	1158
952,954	1159,1160
955	-1
956	1161
-1	1162
957	1163,1164
958	1165
959	1166
960	1167
961	1168,1169
962	1170
-1	1171
963,965	1172,1173
966,967	1174,1175
968	1176
969	1177
970	1178
971	-1
972	1179
-1	1180
973	1181,1184
974	1185
975	1186
976,977	1187
978	1188
979	-1
980	1189
-1	1190
981	1191
982,984	1192,1194
985,986	1195
987	1196
988	1197
989,990	1198
991	1199
-1	1200
992	1201
993,994	1202
995	1203
996	1204
997	1205
998	1206,1207
999,1000	1208,1209
-1	1210
1001	1211
1002,1003	1212
1004	1213
1005	1214
1006	1215,1216
1007	1217
1008	-1
1009	1218
-1	1219
1010	1220,1221
1011	1222,1223
1012	1224
1013	1225
1014	1226
1015	1227
1016,1017	1228,1229
1018	1230,1231
1019	1232,1233
1020	1234
1021	1235,1236
1022	1237
1023	1238
1024	1239,1242
1025,1026	1243,1244
1027	1245,1246
1028	-1
1029	1247
-1	1248
1030	1249
1031	1250,1252
1032	1253
1033	1254,1255
1034	1256
